	https://www.deepl.com/translator machine translated	
Das Genie einer Nacht	The genius of a night	0.56
Die Marseillaise, 25. April 1792	The Marseillaise, April 25, 1792	0.46
Das Genie einer Nacht	The genius of one night	0.49
1792. Zwei Monate, drei Monate schon schwankt in der französischen Nationalversammlung die Entscheidung: Krieg gegen die Koalition der Kaiser und Könige oder Frieden. Ludwig XVI. ist selbst unentschlossen; er ahnt die Gefahr eines Sieges der Revolutionäre, er ahnt die Gefahr ihrer Niederlage. Ungewiß sind auch die Parteien. Die Girondisten drängen zum Kriege, um die Macht zu behalten, Robespierre und die Jakobiner fechten für den Frieden, um inzwischen selbst die Macht an sich zu reißen. Von Tag zu Tag wird die Lage gespannter, die Journale lärmen, die Klubs diskutieren, immer wilder schwirren die Gerüchte, und immer mehr wird die öffentliche Meinung durch sie erregt. Wie immer eine Entscheidung, wird es darum eine Art von Befreiung, wie am 20. April der König von Frankreich endlich den Krieg an den Kaiser von Österreich und den König von Preußen erklärt.	In 1792, two months, three months already, the French National Assembly is wavering over the decision: war against the coalition of emperors and kings or peace. Louis XVI is himself undecided; he senses the danger of a victory for the revolutionaries, he senses the danger of their defeat. The parties are also uncertain. The Girondists are pushing for war to retain power, Robespierre and the Jacobins are fighting for peace to seize power themselves in the meantime. Day by day the situation becomes more tense, the journals clamor, the clubs discuss, ever wilder the rumors buzz, and ever more public opinion is aroused by them. As always a decision, it therefore becomes a kind of liberation, as on April 20 the King of France finally declares war on the Emperor of Austria and the King of Prussia.	0.57
Lastend und seelenverstörend hat in diesen Wochen und Wochen die elektrische Spannung über Paris gelegen; aber noch drückender, noch drohender schwült die Erregung in den Grenzstädten. In allen Biwaks sind schon die Truppen versammelt, in jedem Dorf, in jeder Stadt werden Freiwillige und Nationalgarden ausgerüstet, überall die Festungen instand gesetzt, und vor allem im Elsaß weiß man, daß auf seiner Scholle, wie immer zwischen Frankreich und Deutschland, die erste Entscheidung fallen wird. An den Ufern des Rheins ist der Feind, der Gegner, nicht wie in Paris ein verschwommener, ein pathetisch-rhetorischer Begriff, sondern sichtbare, sinnliche Gegenwart; denn an dem befestigten Brückenkopf, von dem Turm der Kathedrale, kann man die heranrückenden Regimenter der Preußen mit freiem Auge wahrnehmen. Nachts trägt der Wind das Rollen der feindlichen Artilleriewagen, das Klirren der Waffen, die Trompetensignale über den gleichgültig im Mondlicht glitzernden Strom. Und alle wissen: nur ein einziges Wort, nur ein einziges Dekret ist vonnöten, und aus dem schweigenden Mund der preußischen Kanonen fährt Donner und Blitz, und der tausendjährige Kampf zwischen Deutschland und Frankreich hat abermals begonnen – diesmal im Namen der neuen Freiheit auf der einen Seite und im Namen der alten Ordnung auf der andern.	During these weeks and weeks the electric tension has lain over Paris, weighing heavily and disturbing the soul; but the excitement in the border towns is even more oppressive, even more threatening. Troops are already assembled in all bivouacs, volunteers and national guards are being equipped in every village, in every town, fortifications are being repaired everywhere, and especially in Alsace it is known that on its soil, as always between France and Germany, the first decision will be made. On the banks of the Rhine, the enemy, the adversary, is not, as in Paris, a blurred, a pathetic-rhetorical concept, but a visible, sensuous presence; for at the fortified bridgehead, from the tower of the cathedral, the approaching Prussian regiments can be perceived with the naked eye. At night the wind carries the rolling of the enemy artillery wagons, the clanking of weapons, the trumpet signals across the stream glittering indifferently in the moonlight. And everyone knows: only one word, only one decree is needed, and from the silent mouth of the Prussian cannons thunder and lightning will fly, and the thousand-year struggle between Germany and France will have begun once again - this time in the name of the new freedom on the one side and in the name of the old order on the other.	0.48
Unvergleichlicher Tag darum, da am 25. April 1792 Stafetten die Nachricht der erfolgten Kriegserklärung aus Paris nach Straßburg bringen. Sofort strömt aus allen Gassen und Häusern das Volk auf die offenen Plätze, kriegsbereit marschiert die ganze Garnison zur letzten Parade, Regiment nach Regiment. Auf dem Hauptplatz erwartet sie der Bürgermeister Dietrich, die dreifarbige Schärpe um den Leib, die Kokarde auf dem Hut, den er grüßend den Soldaten entgegenschwenkt. Fanfarenruf und Trommelwirbel mahnt zur Stille. Mit lauter Stimme liest Dietrich an diesem und allen andern Plätzen der Stadt französisch und deutsch den Wortlaut der Kriegserklärung vor. Nach seinen letzten Worten intonieren die Regimentsmusiker das erste, das vorläufige Kriegslied der Revolution, das »Ça ira«, eigentlich eine prickelnde, übermütige, spöttische Tanzmelodie, aber die klirrenden, die donnernden Schritte der ausmarschierenden Regimenter geben ihr martialischen Takt. Dann zerstreut sich die Menge und trägt die angefachte Begeisterung in alle Gassen und Häuser; in den Cafés, in den Klubs werden zündende Ansprachen gehalten und Proklamationen verteilt. »Aux armes, citoyens! L'étendard de la guerre est déployé! Le signal est donné!«; so und mit ähnlichen Anrufen beginnen sie, und überall, in allen Reden, in allen Zeitungen, auf allen Plakaten, auf allen Lippen wiederholen sich solche schlagkräftige, rhythmische Rufe wie »Aux armes, citoyens! Qu'ils tremblent donc, les despotes couronnés! Marchons, enfants de la liberté!«, und jedesmal jubelt und jubelt die Masse den feurigen Worten zu.	"It was an incomparable day when, on April 25, 1792, the news of the declaration of war was brought from Paris to Strasbourg by convoys. Immediately the people streamed out of all the streets and houses into the open squares, ready for war the whole garrison marched to the last parade, regiment after regiment. On the main square, Mayor Dietrich awaits them, the tricolor sash around his body, the cockade on his hat, which he waves in greeting to the soldiers. The call of the fanfare and the roll of the drums call for silence. In a loud voice, Dietrich reads the text of the declaration of war in French and German in this and all other places in the city. After his last words the regimental musicians intoned the first, the preliminary war song of the revolution, the ""Ça ira"", actually a sparkling, high-spirited, mocking dance melody, but the clashing, the thundering steps of the marching out regiments gave it a martial beat. Then the crowd disperses, carrying the fanned enthusiasm into all the alleys and houses; in the cafes, in the clubs, inflammatory speeches are made and proclamations distributed. ""Aux armes, citoyens! L'étendard de la guerre est déployé! Le signal est donné!""; thus and with similar calls they begin, and everywhere, in all the speeches, in all the newspapers, on all the posters, on all the lips, are repeated such punchy, rhythmic cries as ""Aux armes, citoyens!"". Qu'ils tremblent donc, les despotes couronnés! Marchons, enfants de la liberté!"", and each time the masses cheer and cheer to the fiery words."	0.47
Immer jubelt die große Masse auf den Straßen und Plätzen bei einer Kriegserklärung, immer aber regen sich in solchen Augenblicken des Straßenjubels auch andere Stimmen, leisere, abseitige; auch die Angst, auch die Sorge wacht auf bei einer Kriegserklärung, nur daß sie heimlich in den Stuben flüstert oder mit blasser Lippe schweigt. Ewig und überall sind Mütter, die sich sagen: Werden die fremden Soldaten nicht meine Kinder hinmorden, in allen Ländern sind die Bauern, die um ihre Habe sorgen, ihre Felder, ihre Hütten, ihr Vieh und ihre Ernte. Wird ihre Saat nicht zerstampft werden, ihr Haus nicht geplündert von den brutalen Horden, nicht mit Blut die Felder ihrer Arbeit gedüngt? Aber der Bürgermeister von Straßburg, Friedrich Baron Dietrich, eigentlich ein Aristokrat, aber wie die beste Aristokratie Frankreichs damals der Sache der neuen Freiheit mit ganzer Seele hingegeben, will nur die lauten, die klingenden Stimmen der Zuversicht zu Wort kommen lassen; bewußt verwandelt er den Tag der Kriegserklärung in ein öffentliches Fest. Die Schärpe quer um die Brust, eilt er von einer Versammlung zur andern, um die Bevölkerung anzufeuern. Er läßt Wein und Zehrung an die abmarschierenden Soldaten verteilen, und am Abend versammelt er in seinem geräumigen Hause auf der Place de Broglie die Generalität, die Offiziere und wichtigsten Amtspersonen zu einem Abschiedsfest, dem Begeisterung schon im vornherein den Charakter eines Siegesfestes gibt. Die Generäle, siegessicher wie immer Generäle, präsidieren, die jungen Offiziere, die im Krieg den Sinn ihres Lebens erfüllt sehen, haben freies Wort. Einer feuert den andern an. Man schwingt die Säbel, man umarmt sich, man trinkt sich zu, man hält bei gutem Wein leidenschaftliche und immer leidenschaftlichere Reden. Und abermals kehren dieselben stimulierenden Worte der Journale und Proklamationen in allen Ansprachen wieder: »Auf zu den Waffen, Bürger! Marschieren wir! Retten wir das Vaterland! Bald werden sie zittern, die gekrönten Despoten. Jetzt, da sich die Fahne des Sieges entrollt hat, ist der Tag gekommen, die Trikolore über die Welt zu tragen! Jeder muß jetzt sein Bestes geben, für den König, für die Fahne, für die Freiheit!« Das ganze Volk, das ganze Land will in solchen Augenblicken eine heilige Einheit werden durch den Glauben an den Sieg und durch Begeisterung für die Sache der Freiheit.	"The great masses in the streets and squares always cheer when war is declared, but other voices, quieter, more distant voices, always stir in such moments of street jubilation; fear, too, worry, too, wakes up at a declaration of war, only it whispers secretly in the parlors or remains silent with a pale lip. Eternally and everywhere are mothers who say to themselves: Will the foreign soldiers not murder my children; in all countries are the peasants who worry about their possessions, their fields, their huts, their cattle and their harvest. Will not their seed be trampled, their house plundered by the brutal hordes, not fertilized with blood the fields of their labors? But the mayor of Strasbourg, Frederick Baron Dietrich, actually an aristocrat, but like the best aristocracy of France at that time devoted to the cause of the new freedom with all his soul, wants only the loud, the ringing voices of confidence to speak; consciously he turns the day of the declaration of war into a public celebration. With his sash across his chest, he hurried from one meeting to another to cheer the people. He distributes wine and food to the departing soldiers, and in the evening he gathers the generals, the officers and the most important officials in his spacious house on the Place de Broglie for a farewell party, to which the enthusiasm already gives the character of a victory celebration. The generals, confident of victory as always generals, preside, the young officers, who see in the war the meaning of their lives fulfilled, have free word. One cheers the other. They swing their sabers, they embrace, they drink to each other, they make passionate and increasingly passionate speeches over good wine. And again the same stimulating words of the journals and proclamations recur in all the speeches: ""To arms, citizens! Let us march! Let us save the fatherland! Soon they will tremble, the crowned despots. Now that the flag of victory has unfurled, the day has come to carry the tricolor over the world! Everyone must give his best now, for the king, for the flag, for freedom!"" The whole people, the whole country at such moments wants to become a sacred unity through faith in victory and enthusiasm for the cause of freedom."	0.45
Plötzlich, mitten im Reden und Toastieren, wendet sich der Bürgermeister Dietrich einem jungen Hauptmann vom Festungskorps, namens Rouget, zu, der an seiner Seite sitzt. Er hat sich erinnert, daß dieser nette, nicht gerade hübsche, aber sympathische Offizier vor einem halben Jahr anläßlich der Proklamierung der Konstitution eine recht nette Hymne an die Freiheit geschrieben hat, die der Regimentsmusikus Pleyel gleich vertonte. Die anspruchslose Arbeit hatte sich sangbar erwiesen, die Militärkapelle hatte sie eingelernt, man hatte sie am öffentlichen Platz gespielt und im Chor gesungen. Wären jetzt die Kriegserklärung und der Abmarsch nicht gegebener Anlaß, eine ähnliche Feier zu inszenieren? So fragt Bürgermeister Dietrich ganz lässig, wie man eben einen guten Bekannten um eine Gefälligkeit bittet, den Kapitän Rouget (der sich völlig unberechtigterweise selbst geadelt hat und Rouget de Lisle nennt), ob er nicht den patriotischen Anlaß wahrnehmen wolle und für die ausmarschierenden Truppen etwas dichten, ein Kriegslied für die Rheinarmee, die morgen gegen den Feind ausrücken soll.	Suddenly, in the midst of talking and toasting, Mayor Dietrich turned to a young captain from the fortress corps, named Rouget, sitting at his side. He remembered that half a year ago, on the occasion of the proclamation of the Constitution, this nice officer, not exactly handsome but sympathetic, had written a rather nice hymn to liberty, which the regimental musician Pleyel immediately set to music. The unpretentious work had proved to be singable, the military band had learned it, it had been played in the public square and sung in the choir. Wouldn't the declaration of war and the departure be a good occasion to stage a similar celebration? So Mayor Dietrich casually asks, as one would ask a good acquaintance for a favor, Captain Rouget (who has quite unjustifiably ennobled himself and calls himself Rouget de Lisle), whether he would not like to take advantage of the patriotic occasion and compose something for the marching troops, a war song for the Rhine army, which is to march out against the enemy tomorrow.	0.43
Rouget, ein bescheidener, unbedeutender Mann, der sich nie für einen großen Komponisten hielt – seine Verse wurden nie gedruckt, seine Opern refüsiert –, weiß, daß ihm Gelegenheitsverse leicht in die Feder fließen. Um der hohen Amtsperson und dem guten Freunde gefällig zu sein, erklärt er sich bereit. Ja, er wolle es versuchen. »Bravo, Rouget«, trinkt ein General von gegenüber ihm zu und mahnt ihn, er solle ihm dann gleich das Lied ins Feld nachschicken; irgendeinen schrittbeflügelnden, patriotischen Marschgesang könne die Rheinarmee wirklich brauchen. Inzwischen beginnt ein anderer eine Rede zu schwingen. Wieder wird toastiert, gelärmt, getrunken. Mit starker Woge geht die allgemeine Begeisterung über die kleine zufällige Zwiesprache hinweg. Immer ekstatischer, immer lauter, immer frenetischer wird das Gelage, und die Stunde steht schon bedenklich spät nach Mitternacht, da die Gäste das Haus des Bürgermeisters verlassen.	"Rouget, a modest, insignificant man who never considered himself a great composer - his verses were never printed, his operas refüsiert - knows that occasional verses flow easily into his pen. To please the high official and the good friend, he declares himself ready. Yes, he wants to try. ""Bravo, Rouget,"" a general from across the street drinks to him and admonishes him that he should then immediately send the song after him into the field; the Rhine Army could really use some step-winging, patriotic marching song. In the meantime, someone else begins to make a speech. Again there is toasting, noise, drinking. With a strong wave the general enthusiasm goes over the small coincidental dialogue. The revelry becomes more and more ecstatic, louder and louder, more and more frenetic, and the hour is already precariously late after midnight, when the guests leave the mayor's house."	0.41
Es ist spät nach Mitternacht. Der 25. April, der für Straßburg so erregende Tag der Kriegserklärung, ist zu Ende, eigentlich hat der 26. April schon begonnen. Nächtliches Dunkel liegt über den Häusern; aber trügerisch ist dieses Dunkel, denn noch fiebert die Stadt vor Erregung. In den Kasernen rüsten die Soldaten zum Ausmarsch und manche der Vorsichtigen hinter verschlossenen Läden vielleicht schon heimlich zur Flucht. Auf den Straßen marschieren einzelne Peletons, dazwischen jagen die klappernden Hufe der Meldereiter, dann rasselt wieder ein schwerer Zug Artillerie heran, und immer wieder hallt monoton der Ruf der Schildwache von Posten zu Posten. Zu nahe ist der Feind, zu unsicher und zu erregt die Seele der Stadt, als daß sie Schlaf fände in so entscheidendem Augenblick.	It is late after midnight. April 25, the day of the declaration of war, which was so exciting for Strasbourg, has come to an end; in fact, April 26 has already begun. Nightly darkness lies over the houses; but this darkness is deceptive, for the city is still feverish with excitement. In the barracks, the soldiers are preparing to march out, and some of the cautious ones are perhaps already secretly fleeing behind closed shutters. In the streets, individual peletons march, the clattering hooves of the dispatch riders hunt between them, then another heavy platoon of artillery rattles up, and again and again the call of the shield guard echoes monotonously from post to post. The enemy is too close, the soul of the city too uncertain and too excited to find sleep at such a decisive moment.	0.42
